,wer,cer
count,73.0,73.0
mean,1.0205032612937954,0.8374137824804935
std,0.05399026463668668,0.034327657693894606
min,1.0,0.7846153846153846
25%,1.0,0.8181818181818182
50%,1.0,0.8301886792452831
75%,1.0,0.8432432432432433
max,1.2857142857142858,0.9850746268656716
